name,avg,marks,exam
09d1997da504906eb1f4b5d6c5e6ac01,2.875,3,False
39cf1523763e37265f92522e71b77dc4,2.0,5,False
24454accebeb0af480f9884d25ceec4c,3.4166666666666665,4,False
59af183ff5c4344c5bc11e6a614fe60c,2.5,3,False
e2ee19fa4881ea1dcaab0c12fa6d6641,3.55,6,False
2e3cca721b18d07b37cf8167e7a230e8,3.4375,6,False
fdbce8e408d8155289164c8ca57bda99,2.5,4,False
cf03d87626a205024c2984e9602d918f,3.1875,5,False
94aeff15005056b2c8888821b771516b,2.4166666666666665,6,False
a11ee2d194aeb239c2d3e01c33d9002b,3.46875,13,False
bca85d843f74a1c89df70666e84e4c33,3.3363095238095237,14,False
03b58e15d8bbf00629be209041b5b25f,3.6916666666666664,9,False
896b074301283cb56686aa199978a380,3.3645833333333335,11,False
bb39c1b1ad3b0aa7149647cc83d59cc7,2.2708333333333335,8,False
3e8f7e5c8e7613ee2c34db32092b11a5,2.425,9,False
d798c048c3beb722a8ea205155bc0d56,2.51875,10,False
c44330842b004a50ef8d23e7a205fbf5,3.8541666666666665,13,False
3aafdcc9aca053c5418f3caff243c570,3.46875,11,False
9ecb1bd081d204ea37f96a31a35a1b23,4.15,11,False
ed6742bc98a44efd72586750fc9e915b,3.5625,9,False
a03a1848671e06e9a66e9793817f9b9a,3.0416666666666665,10,False
8d0018c77be1e5505a5dd1d545b9be44,2.2916666666666665,7,False
0f53a8fb58f9095deaa6e54109470fe5,3.6125,10,False
ce16a646eab35a470acc2fca7279ead7,3.575,9,False
d10072f3e3a2892574284af43d68a317,3.4791666666666665,8,False
a4ef0fe0b1675eb172676b05c9f2eb0e,3.732142857142857,14,False
3b207302ccef13fd691c962aecf7f785,3.7083333333333335,7,False
5c3f0bf52d8427c4da13746cfc32340e,3.20625,10,False
06ef00d15cf229db5c45e1f284702f4c,4.135416666666667,11,False
2466fe27260b1ad17745f79c409c5a81,2.666666666666667,10,False
862d0a250e5ae1a1dc944fcbc9701f99,3.31875,12,False
4c468ea03c2469650912a0675ddcc86a,2.75,11,False
7597a5147550cfee5e89921315a08f9d,2.65625,9,False
8d0fc5af53837130b518c8bf660eac7f,3.932142857142857,14,False
952349b8986f1ca8a85adb2277795388,2.25,13,False
4cd18ff1e4fdec71761f49333f28bf6b,3.658333333333333,13,False
2a9179e95e915d1aa8cfa22a9dbe13bf,2.979166666666667,10,False
9f95c972eb23f97c683132f74aa2ba13,3.25,12,False
9755d035efa0630afb61642fd843caae,4.035714285714286,12,False
12c299df821886e03f4fbfa881581366,2.6357142857142857,13,False
ed93ea2f12f9abc978f80a919e230a22,3.46875,10,False
1ea1b1e2a5729dc0a9aefad66d0bcda6,3.75,9,False
4b7f384452f14bfd6bc864e29617553d,2.65,9,False
4516da54240bd85aa0ee7821b3a67e03,2.8666666666666667,11,False
054755e789540ecb6019b09b47c0fcd4,2.8,11,False
ef32887906f5487d666920a4bfc9668c,3.388888888888889,15,False
fb1f45ec4425671ea2b83bbd6ce7ca4e,4.075,11,False
85f9a0d92a19efda3edbf9a3bbde5349,2.0833333333333335,12,False
9fce69d1e9b7f1551899adde35cf4e7c,4.333333333333333,12,False
2bff185369056e55446b8478b17e5fb1,4.283333333333333,12,False
9873e710e634752e3a6a979cbf039ba0,4.31875,16,False
2b185a6515d436ce3f4940c3618407a6,4.325,21,False
02ae32afa7a982a6f96adfee07c4ba88,4.0625,17,False
2c8c6a1621b4c5872c51e22a1f73a0df,3.9916666666666667,13,False
00f28ecf37c202fecfcfcf50fc29da7f,2.3,10,False
740cd216057cc36e66fa7fd985c4769a,2.5267857142857144,11,False
4edfd983f7dd19b3a7af1b350ff3a815,2.2916666666666665,12,False
411da9e6cfb187fb2b59ee8d1389753e,3.46875,9,False
d2242d77f9cf9aaefefb1134c14b1a7f,4.182539682539683,18,False
fe089703e98a208c6dbc9ce5e5712cb1,4.347222222222222,18,False
351d5188bbb2fc64503e4022292c3896,3.45,12,False
9f02c54c689294dad4ddd592503e463c,3.625,9,False
0187572fcd4b351e8bf217c2896c23c5,3.0625,7,False
9ed2ad8201c5056588a45559e34ef270,3.5,8,False
dd12cb3865f0431019e3bbecd96b515f,3.125,9,False
aafbec5aef464dfe93d119b1183c82aa,3.75,9,False
70b72318a3cf04cb3daed42b635119a3,3.635416666666667,11,False
